name_lower	name	canonical	known_chain	count
союздрук	Союздрук			16
yellow creek church	Yellow Creek Church			16
fabrica	Fabrica			16
автозапчасти ваз	Автозапчасти ВАЗ			16
лоза	Лоза			16
общежитие №12	Общежитие №12			16
mechanical workshop	Mechanical Workshop			16
bsic	BSIC			16
pizza & pasta	Pizza & Pasta			16
covered bridge	Covered Bridge			16
jantar	Jantar			16
školské ihrisko	Školské ihrisko			16
cycle surgery	Cycle Surgery			16
estacionamiento	Estacionamiento			16
adams school (historical)	Adams School (historical)			16
dean&david	dean&david			16
masjid al barokah	Masjid Al Barokah			16
texas road house	Texas Road House			16
anttila	Anttila			16
bragg cemetery	Bragg Cemetery			16
mallorca	Mallorca			16
english school	English School			16
приднестровский сбербанк	Приднестровский Сбербанк			16
eastern	Eastern			16
b27	B27			16
b24	B24			16
b22	B22			16
maison du parc	Maison du Parc			16
le surcouf	Le Surcouf			16
lav	Lav			16
parquinho	Parquinho			16
willard cemetery	Willard Cemetery			16
hörgeräte geers	Hörgeräte Geers			16
quickcafe	QuickCafe			16
furniture row	Furniture Row			16
bks	BKS			16
caserne pompiers	Caserne Pompiers			16
центр социального обслуживания	Центр социального обслуживания			16
au fil de l'eau	Au fil de l'eau			16
防災倉庫	防災倉庫			16
chopin	Chopin			16
schulte	Schulte			16
тц пассаж	ТЦ Пассаж			16
mieterparkplatz	Mieterparkplatz			16
edifício residencial	Edifício Residencial			16
市立太田小学校	市立太田小学校			16
tandoori nights	Tandoori Nights			16
paul's	Paul's			16
ac	AC			16
san silvestro	San Silvestro			16
dentix	Dentix			16
bäcker müller	Bäcker Müller			16
sondermann	Sondermann			16
wilderness park	Wilderness Park			16
кладбище татарское (мизар)	Кладбище татарское (Мизар)			16
kossuth lajos általános iskola	Kossuth Lajos Általános Iskola			16
castilla	Castilla			16
house of bagels	House of Bagels			16
kantor pln	Kantor PLN			16
belle tire	Belle Tire			16
384	384			16
388	388			16
boot barn	Boot Barn			16
pegas touristik	Pegas Touristik			16
mühlenbäcker	Mühlenbäcker			16
palazzina 17	Palazzina 17			16
banco di brescia	Banco di Brescia			16
my local	My Local			16
uszoda	Uszoda			16
western park	Western Park			16
moti mahal	Moti Mahal			16
piast	Piast			16
the orchards	The Orchards			16
市立住吉小学校	市立住吉小学校			16
église saint-félix	Église Saint-Félix			16
saint charles borromeo school	Saint Charles Borromeo School			16
cinemax	Cinemax			16
maison de la musique	Maison de la Musique			16
tortilleria	Tortilleria			16
wea	WEA			16
salam	Salam			16
le cellier	Le Cellier			16
wagner park	Wagner Park			16
радость	Радость			16
trölsch	Trölsch			16
muzeum	Muzeum			16
пирожки	Пирожки			16
chandler park	Chandler Park			16
haus 25	Haus 25			16
кузьмино	Кузьмино			16
kenzo	Kenzo			16
la galerie	La Galerie			16
hewlett packard	Hewlett Packard			16
elizondo	Elizondo			16
креатив	Креатив			16
la boite à pizza	La Boite à Pizza			16
flextronics	Flextronics			16
french embassy	French Embassy			16
burgerfi	BurgerFi			16
le bouche à oreille	Le Bouche à Oreille			16
morgan park	Morgan Park			16
trgostil	Trgostil			16
aster	Aster			16
bmce bank	BMCE Bank			16
la salsa	La Salsa			16
средняя общеобразовательная школа №1	Средняя общеобразовательная школа №1			16
r502	R502			16
tierpark	Tierpark			16
iglesia nuestra señora del rosario	Iglesia Nuestra Señora del Rosario			16
avec.	avec.			16
la vega	La Vega			16
east side park	East Side Park			16
pabellón deportivo	Pabellón deportivo			16
alten- und pflegeheim	Alten- und Pflegeheim			16
mess guru	Mess Guru			16
prince of peace church	Prince of Peace Church			16
fredonia church	Fredonia Church			16
le chantilly	Le Chantilly			16
controle technique	Controle Technique			16
446	446			16
the timbers	The Timbers			16
targ	Targ			16
офис врача общей практики	Офис врача общей практики			16
pizza del arte	Pizza Del Arte			16
gardien	Gardien			16
vogelkijkhut	Vogelkijkhut			16
maria's	Maria's			16
helton cemetery	Helton Cemetery			16
детский сад № 26	Детский сад № 26			16
ihr landbäcker	Ihr Landbäcker			16
igreja são judas tadeu	Igreja São Judas Tadeu			16
dental	Dental			16
university plaza	University Plaza			16
saint martins school	Saint Martins School			16
сокар	Сокар			16
interpretive center	Interpretive Center			16
kleeblatt	Kleeblatt			16
ward	Ward			16
cancha multiple	Cancha Multiple			16
amnesia	Amnesia			16
earth	Earth			16
coney island	Coney Island			16
saint stephens catholic church	Saint Stephens Catholic Church			16
le grenier à pain	Le Grenier à Pain			16
green hill school (historical)	Green Hill School (historical)			16
студенец	Студенец			16
2nd hole	2nd Hole			16
le parvis	Le Parvis			16
sauvie island wildlife area	Sauvie Island Wildlife Area			16
warka	Warka			16
freizeitanlage	Freizeitanlage			16
west side school	West Side School			16
pos rw 01	Pos RW 01			16
pos rw 07	Pos RW 07			16
барракуда	Барракуда			16
howard park	Howard Park			16
佐賀銀行	佐賀銀行			16
sparkasse heidelberg	Sparkasse Heidelberg			16
century	Century			16
house cemetery	House Cemetery			16
arnett cemetery	Arnett Cemetery			16
slb negeri pembina samarinda utara	SLB Negeri Pembina Samarinda Utara			16
tyre shop	Tyre Shop			16
eichhof	Eichhof			16
pennzoil	Pennzoil			16
italiano	Italiano			16
cementerio nuevo	Cementerio Nuevo			16
benco storage units	Benco Storage Units			16
sidro	Sidro			16
chestnut ridge school (historical)	Chestnut Ridge School (historical)			16
unidad de servicios de apoyo a la educacion regular	Unidad de Servicios de Apoyo a la Educacion Regular			16
юкон	Юкон			16
聯邦銀行	聯邦銀行			16
medical library	Medical Library			16
hamilton high school	Hamilton High School			16
st mary's c of e primary school	St Mary's C of E Primary School			16
hotel moderno	Hotel Moderno			16
maison des arts	Maison des Arts			16
елочка	Елочка			16
centro de distribución chilexpress	Centro de Distribución Chilexpress			16
la mina	La Mina			16
детский дом №1	Детский дом №1			16
stadt-parfümerie pieper	Stadt-Parfümerie Pieper			16
triana	Triana			16
orcanta	Orcanta			16
dulce	Dulce			16
rouge - village - les citernes	Rouge - Village - Les Citernes			16
корпус № 2	Корпус № 2			16
zeneiskola	Zeneiskola			16
фунтик	Фунтик			16
市立第五小学校	市立第五小学校			16
ranch house	Ranch House			16
jackson hall	Jackson Hall			16
sparkasse hanau	Sparkasse Hanau			16
kemp cemetery	Kemp Cemetery			16
cupido	Cupido			16
quarters	Quarters			16
parroquia sagrada familia	Parroquia Sagrada Familia			16
pick 'n save	Pick 'n Save			16
allotments	Allotments			16
interspar restaurant	Interspar Restaurant			16
holland blumen	Holland Blumen			16
велосипеды	Велосипеды			16
alte meierei	Alte Meierei			16
aral-tankstelle	Aral-Tankstelle			16
coffman cemetery	Coffman Cemetery			16
libre	LIBRE			16
new york & company	New York & Company			16
fit for free	Fit for Free			16
럭키마트 (reokki mart)	럭키마트 (Reokki Mart)			16
jojo	JoJo			16
ct	CT			16
yogen fruz	Yogen Fruz	Yogen Früz	1	16
days hotel	Days Hotel			16
east side cemetery	East Side Cemetery			16
falcon	Falcon			16
vima	Vima			16
dover church	Dover Church			16
yanase	YANASE			16
euro kids	Euro Kids			16
getinbank	Getinbank			16
le pélican	Le Pélican			16
tradewinds	Tradewinds			16
zócalo	Zócalo			16
turbinenhaus	Turbinenhaus			16
pro nails	Pro Nails			16
springfield post office	Springfield Post Office			16
la pinède	La Pinède			16
löwen play casino	Löwen Play Casino			16
highlands	Highlands			16
town landing	Town Landing			16
дрова	Дрова			16
la cascina	La Cascina			16
bni 46	BNI 46			16
volksbank-raiffeisenbank	Volksbank-Raiffeisenbank			16
werkfeuerwehr	Werkfeuerwehr			16
park zamkowy	Park Zamkowy			16
consulate of sweden	Consulate of Sweden			16
sorger	Sorger			16
baliwag lechon	Baliwag Lechon			16
la motte	La Motte			16
la vieille auberge	La Vieille Auberge			16
rischart	Rischart			16
matt	Matt			16
sv. petra a pavla	sv. Petra a Pavla			16
la unión	La Unión			16
thai cuisine	Thai Cuisine			16
garden city	Garden City			16
huck's	Huck's			16
nav	NAV			16
old bridge	Old Bridge			16
school number 26	School Number 26			16
la brasa	La Brasa			16
pillaiyar kovil	Pillaiyar Kovil			16
k-citymarket	K-Citymarket			16
polivalente	Polivalente			16
детский сад № 56	Детский сад № 56			16
east side church	East Side Church			16
lekplats	Lekplats			16
shophouses	Shophouses			16
yew tree cottage	Yew Tree Cottage			16
marché aux poissons	Marché aux poissons			16
ион	ИОН			16
spd	SPD			16
cabin 2	Cabin 2			16
kerkhof	Kerkhof			16
わん	わん			16
гефест	Гефест			16
vila militar	Vila Militar			16
somerset	Somerset			16
fire station number 5	Fire Station Number 5			16
le petit creux	Le Petit Creux			16
saint peter catholic church	Saint Peter Catholic Church			16
bayview	Bayview			16
bismarckstein	Bismarckstein			16
regency	Regency			16
eggers	Eggers			16
пожарная часть №1	Пожарная часть №1			16
деметра	Деметра			16
bar-tabac	Bar-Tabac			16
hotel majestic	Hotel Majestic			16
postpoint	Postpoint			16
flowers cemetery	Flowers Cemetery			16
bl. 12a	Bl. 12A			16
reliance trends	Reliance Trends			16
spray feature	Spray Feature			16
french bakery	French Bakery			16
convergys	Convergys			16
villa flora	Villa Flora			16
taylor mine	Taylor Mine			16
sterling bank of asia	Sterling Bank of Asia			16
building m	Building M			16
централна кооперативна банка	Централна Кооперативна Банка			16
ecker	Ecker			16
poșta română	Poșta Română			16
siebel	Siebel			16
avery cemetery	Avery Cemetery			16
preston	Preston			16
